Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,233896.4,212441.3,200592.6,217998.2,213221.6,217426.1,252852.8,319109,363546.255,392743,421587.6,447215,465538.7,512207.07,583021,622661.8,687710.7,680522.2,690792.5,772146.8,731026,693254.8,723792.1,816546.2,904308.3,1036986.2,1162694.9,1300121.4,1056913,1277490.9,1482483.562,1545802.444,1578430.876,1620483.863,1504571.727,1453698.696,1545605.008,1664237.796
Advanced Economies,149175,136737.2,138385.9,151853.7,150408.9,159099.6,188555.7,238099.1,271533.921,295424.7,308045.8,314766.2,326041.1,359299.3,415186.1,434498.1,467287.8,456752.9,475353.4,522147.5,487117.9,459143.1,478270.4,533218.7,579194.9,647878.5,716960.1,771937.5,615425.4,725025.1,822716.5414,837061.3687,838651.3261,864959.599,814098.78,791126.6728,838543.373,913524.682
Euro Area,44888.9,41971.9,38062.2,38505.2,37965.6,41901.3,46926.3,57934.7,66650.316,75463.9,81665.3,80932.5,73095.7,77824.4,91009.6,92332.4,100816,106050.8,108545,118224.9,114439.4,107084.2,113405.4,128616.3,138916.9,158087.2,183407.1,205219.9,163575.7,178674.1,199050.0098,196345.6019,201520.6584,207294.6871,202777.3016,201668.7186,211392.3792,234121.519
Austria,484,370.7,370.9,374.9,441.2,463.9,548.7,740.2,872.806,873.3,1055,1257.3,1325.5,1372.6,2016.8,2009.1,2073.5,2506.2,2320.8,2570.3,2625.5,2423.8,1792.6,1957.8,2597.5,2986.5,3172,2649.2,2538.5,2427.5,2893.301793,3419.658018,3519.769022,3824.767135,4025.939053,3796.833941,4264.317733,3569.042909
Belgium,,,,,,,,,,,,,,,,,13430.8,13918.1,12597.4,13873.8,13523.7,13342.7,15217.9,16876.6,18604.7,21347.1,25292,29026.4,21629.8,25551.2,29990.46387,29438.36097,31927.68711,34789.50231,34114.71665,32270.99571,29910.72813,31415.75278
Belgium-Luxembourg,5764.4,5229.2,5049.1,5301.1,4917.7,5399.1,6189.4,7374.9,8656.484,10448.4,10695.1,10050.4,10231.4,11172.3,12833.5,12761.7,,,,,,,,,,,,,,,,,,,,,,
Cyprus,82.5,86.4,54,73.7,45.2,53.6,197.2,117.5,108.558,129.6,119.3,165.6,137.8,208.8,257.9,256.8,243.6,162.9,185.2,185.7,268.1,193.3,327.1,96.4,83.7,240.2,168.8,217.5,160.8,134.3,97.699749,166.867197,143.223588,151.660136,101.825062,185.233744,79.724454,131.271971
Estonia,,,,,,,,,,,,,54.2,33.3,139.1,83.3,47.7,87.1,158.1,87.6,57.9,81.5,120.7,133.4,145.6,221.1,242.3,225.4,183.2,187.9,309.6028,235.98612,293.176508,308.459601,288.715606,256.972976,274.103036,346.905822
Finland,613.4,489.6,412.9,349.8,437.7,381,514.4,760.8,969.209,1125.6,950.9,786.6,847.1,1069.1,1248.5,2438.3,1741,1915.1,1663.5,1589,1553.8,1536.8,1713.8,2066.5,2248,2648.1,3133.1,3761.6,1665.6,2181.2,3158.720581,2566.206117,2349.033238,2150.160952,1572.494084,1576.802507,1528.350396,1872.587309
France,7340.5,7110.2,5961.3,6036.7,6095.6,7215.9,7943.3,10044.6,11589.264,13652.2,15372.1,14581.2,13272.5,13631.4,14250.1,14430.9,16581.5,18071.2,18841.7,20398,20124.9,19347.4,17393.7,21557.1,22537.8,24385.7,27819.6,29949.1,27044.8,27777.4,28864.1984,31938.78905,33873.91947,32449.89996,31455.08185,32438.85681,34198.15682,37361.04335
Germany,10276.6,9291.3,8736.9,9083.9,9049.3,10560.6,11747.7,14269,16882.869,18752.1,21316.5,21235.8,18956.9,19236.8,22376.3,23473.9,24466.8,26641.9,26990.7,29216.7,30113.9,26628.5,28847.9,31380.8,34149.2,41319.6,49652,54732.3,43298.4,48201.2,49294.18942,48802.96888,47361.9906,49363.33525,49946.65121,49361.98367,53492.75779,57653.80755
Greece,675.5,721.4,503.3,456,497.8,430.2,401.8,644.3,706.39,764.5,1036.3,896.4,883.9,829.9,1519.1,819.9,953.6,1354.9,1070.5,1251.3,1295.7,1152.7,1191.3,2063.2,1190.3,1554.1,2111,1931.8,2475.6,1106.8,1130.969963,804.136728,739.038829,773.18686,729.533949,720.430154,961.973901,1047.678173
Ireland,1024.8,983.2,1115.5,1354.7,1341.8,1433.9,1810.5,2165.4,2493.692,2539.1,2683.1,2853.1,2731,3415.5,4094.8,3659.7,4641.2,5653.1,6331,7723.2,7149.6,6749,7698.5,8165.9,9335.3,8515.4,9010.8,8652.8,7516.4,7272,7657.624847,7392.737072,6632.32158,7806.415892,8945.716238,9555.690933,10736.56347,10686.90073
Italy,5359.9,4616.2,3907.5,4374.8,4625.2,4838.3,5529.8,6680.6,7206.611,7987.2,8579.2,8698.1,6460.2,7195.5,8868.1,8791.5,8982.3,9036.7,10085.7,10925.8,9922.7,10097.6,10578.8,10719,11541.4,12587.8,14173.5,15497.3,12248.3,14198.6,16041.79062,16103.27369,16758.19406,16976.75112,16256.40195,16757.9661,18323.12218,23153.30178
Latvia,,,,,,,,,,,,54.5,89.5,101,89.4,165.1,219.2,186.9,227.1,141.7,110.7,91,123.8,120.8,176.9,245.4,381.1,394.3,288.8,344.7,585.962167,514.791562,494.564967,428.178394,294.810894,257.597822,381.854564,510.373928
