Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,400.1,515,467.6,759.5,889.3,911.4,979,1137.4,1184.405,1373.5,1330.6,1352.9,1467.4,1817.6,2039.9,2281.3,2452.6,2652.3,2950.7,3317,4113.1,3938.7,4630.8,5979.1,6312.4,8526.5,10893.4,8676.3,6512.2,7005.1,9482.732806,9449.154334,9780.396027,10768.8817,11267.61608,10864.45443,11721.66162,13493.22879
Belgium,,,,,,,,,,,,,,,,,8117,8639,9345.3,10149.9,10383.9,10067.1,10401.3,12812.2,13399.1,14789.9,15677,17762.6,14025.7,15899.2,17431.30342,17367.88551,19011.9982,20885.20436,19513.23772,17019.8223,15094.5813,17192.92927
Belgium-Luxembourg,2408.5,2501.8,2509.8,3287.3,3567,4191.2,4359.4,4718.8,4757.25,4768.7,4195.8,4849.6,5599,6862,6478.9,7187.6,,,,,,,,,,,,,,,,,,,,,,
Cyprus,5.1,4.3,15.9,30.3,15.9,12.1,15.8,37.1,16.818,18.4,14.8,11.8,17,19.7,14,18.5,17.5,34.8,35.2,24.9,36.4,27.3,26,27.2,32.3,54.8,17.6,14.9,53.5,11.7,20.777398,29.358126,43.516731,64.035429,31.780597,53.355352,47.442633,67.28195
Estonia,,,,,,,,,,,,,21.3,32.5,69.3,65.2,85.7,138.4,240.1,593.3,258.6,173.9,195.2,433.1,547.3,560.1,311.2,407.7,168.9,614.2,962.254679,506.541064,422.700808,562.554601,501.077216,1002.004523,603.118041,956.476667
Finland,564.8,447.1,544,857,976,986.3,1085.4,1295.1,1455.882,1358.1,1173.3,1266.1,1720.4,1928.1,2391.7,2464.5,2527.8,2746.9,3015.7,3293.6,3529.6,3607.4,3778.2,4092.1,4531.3,5176.1,5500.7,6143,4134.6,4033.3,4435.63551,5109.658449,4668.207644,5015.624319,4498.591777,4579.972054,5893.234305,7166.613398
France,6139.1,5815.1,6307.7,8516.4,9959.5,10586,11176.5,12839,13512.382,13593.7,13810.5,15261.9,15694,17416.5,17769.5,19196.4,21346.2,24745.6,26656.1,30084.4,30984.3,29030.8,29902.4,32619.3,34774.3,38088.6,42498.1,44904.9,34670.8,39256.7,40104.88981,41796.97027,45832.08942,47007.96313,47761.44466,46838.30267,49000.55349,52647.14127
Germany,11917.6,12502.8,13229.2,17810.1,21231.5,26128.1,28028.3,27380.3,25672.416,29080.3,26985.1,29596.2,29461.6,32690.4,38042.5,39989.4,44192.7,51283.2,55825.9,59480.5,60492.3,63884,69617.5,79116.9,86937.6,91222,96639.8,99764.4,72640.6,84373.4,98684.3379,109225.7728,114349.3332,123259.6137,124139.247,114227.422,117744.7528,125904.1418
Greece,383.5,260.2,256.4,383.1,427.5,436.8,529.2,586.8,529.535,552.1,468.8,394.7,373.6,494.2,437.8,535.7,498.1,515.4,610.4,656.6,554.6,601.5,671.8,810.8,1004.9,1070.1,1296.9,1090.4,887.7,845.8,865.444211,986.934224,954.238447,1047.997396,1354.623585,1229.437401,1257.681104,1603.422615
Ireland,522,582.2,582.3,873.8,942,1045.8,1155,1427.8,1617.367,1794.1,2002.2,2315.2,2544.9,2952.6,4149.5,4870.5,5958.9,8479.3,11015.4,15825,18626,22485.1,25959.4,27568.9,28770.1,28777.6,30491.2,31709.8,28187.7,34024.7,39370.5147,33372.37855,31496.44081,33955.62119,39355.26884,45503.86581,48843.83082,57469.10583
Italy,5549.1,5655.8,5819.5,8504.1,10380.8,11311.6,11698.1,12300.4,12725.055,13395.4,12340.6,12843.1,13829.2,15442.1,17304.8,19001.4,20184.3,21914.7,23161.1,26000.8,24953.5,25418.6,26665.1,29408.3,32418.9,34107,36471.2,37496.4,27280.1,29432,33979.09807,36969.92609,38715.13874,42122.49567,44014.56895,45216.80762,49963.20428,54722.26812
Latvia,,,,,,,,,,,,10.9,26.2,57.3,95.7,106.5,162.7,125.8,239.4,259.5,160,209.9,402.2,393.7,386.1,316.6,354.7,242.1,151.8,206.8,362.57078,246.245171,272.66888,274.500843,302.014585,338.283364,456.765477,727.12539
Lithuania,,,,,,,,,,,,5.5,18.1,17.4,29.3,37.2,89.7,88.1,101.6,148.3,181.8,319.9,378.1,526.1,684.4,611.2,495.8,795.8,619.6,664.9,1044.429765,1176.204744,1554.352566,1093.916366,1057.849459,1182.172999,1444.98964,1307.964221
Luxembourg,,,,,,,,,,,,,,,,,255.5,398,336.9,349.1,323.9,317.1,280.4,311,410.3,559.1,553.4,558.5,456.8,471.3,495.112965,553.224144,641.150152,754.83409,637.427918,499.041515,493.581398,552.311767
Malta,11.1,15,9.4,19,35.2,35.2,49.3,75.9,61.324,40.6,66.6,92.1,105.7,96.9,134.6,211.4,226.5,346.4,325.2,471.9,372.4,314.4,378.6,390,288.7,380.2,335.6,284.1,223.2,269.6,244.060459,255.004291,212.093419,173.231821,240.432594,1293.922534,162.687408,196.945305
Netherlands,2519.9,2651.6,3148.9,4329.3,4368.3,4362.9,4235.7,4875,5077.493,5257.8,5067.4,5532.1,5722.8,6358.5,6769,7011.9,7682.9,8009.2,8864,9954.3,9954.1,10307.8,11437.6,13175.1,15503.1,18081.3,19139.8,21823.2,16589.5,19575.8,23454.9225,22259.59739,19234.63787,20818.22894,16752.05079,16151.69137,17743.28081,24605.80469
Portugal,263.2,308.2,308,518.9,598,600.1,713,743.4,850.123,885.7,737.2,699.5,830.7,948.9,1116.8,1066.8,1194.1,1327.3,1393,1650.5,1620.1,1739.7,2045,2332.8,2414.9,3144.8,3174.8,2536.2,1629.3,2225.4,2582.511678,2609.550991,2831.107431,3209.046975,3256.600461,3204.84277,3503.45802,3885.325611
Slovak Republic,,,,,,,,,,,,,64.7,140.5,124.4,133.6,176,176.8,186.8,245.9,250.3,271,1038.6,1242.1,993.5,1386.2,1603,1334,641.3,1102,1407.638321,1779.49929,1763.493888,2100.144719,2279.95038,2534.818845,3050.253021,4164.931682
Slovenia,,,,,,,,,,,,,242.9,279.6,316.3,304.7,288.7,300.3,292.6,332.6,301.4,321.5,498.3,532.5,430.3,505.9,507.3,486.6,400.5,481.9,544.536589,561.619541,574.975001,699.294907,672.001365,752.377544,761.219656,847.233932
